task_id,time,predecessors
T0130,17,T0078|T0094|T0114
T0131,18,T0052
T0132,19,T0070|T0079|T0092
T0133,20,T0067|T0113
T0134,21,T0058|T0068|T0081
T0135,22,T0071|T0100|T0114
T0136,38,T0066|T0107
T0137,24,T0097
T0138,25,T0097
T0139,26,T0055|T0059|T0102
T0140,27,T0075|T0079
T0141,28,T0098|T0116
T0142,29,T0053|T0056|T0113
T0143,30,T0060|T0087
T0144,31,T0068|T0093
T0145,32,T0053|T0080
T0146,33,T0095|T0097|T0103
T0147,34,T0059
T0148,35,T0052|T0075|T0077
T0149,36,T0066|T0068|T0114
T0150,37,T0056|T0082|T0109
T0151,38,T0086|T0097
T0152,39,T0097|T0102
T0153,55,T0086
T0154,41,T0090
T0155,42,T0054|T0065|T0084
T0156,43,T0097
T0157,44,T0073|T0087|T0091
T0158,45,T0072|T0084
T0159,46,T0050|T0071
T0160,47,T0074|T0080|T0102
T0161,48,T0072|T0084
T0162,49,T0102|T0117
T0163,50,T0111|T0115
T0164,51,T0063|T0097
T0165,52,T0066|T0101|T0117
T0166,53,T0148
T0167,54,T0100|T0157
T0168,55,T0104|T0118|T0120
T0169,56,T0097|T0130|T0138
T0170,72,T0133|T0154
T0171,58,T0112|T0158
T0172,59,T0128|T0147|T0148
T0173,60,T0101|T0155
T0174,3,T0097|T0098|T0147
T0175,4,T0110
T0176,5,T0110|T0130|T0136
T0177,6,T0113|T0121
T0178,7,T0108
T0179,8,T0100|T0128|T0165
T0180,9,T0095
T0181,10,T0121|T0129|T0142
T0182,11,T0127|T0163
T0183,12,T0109|T0161
T0184,13,T0089|T0138
T0185,14,T0124|T0164
T0186,15,T0107|T0119|T0128
T0187,31,T0145
T0188,17,T0141|T0144|T0152
T0189,18,T0122|T0154
T0190,19,T0121|T0138
T0191,20,T0128|T0151|T0161
T0192,21,T0124
T0193,22,T0108
T0194,23,T0092|T0108
T0195,24,T0161
T0196,25,T0114|T0133|T0157
T0197,26,T0091|T0144
T0198,27,T0096|T0097|T0139
T0199,28,T0136
T0200,29,T0118|T0136|T0150
T0201,30,T0126|T0129|T0153
T0202,31,T0096|T0145|T0154
T0203,32,T0091|T0152
T0204,48,T0106
T0205,34,T0136
T0206,35,T0110|T0155
T0207,36,T0126
T0208,37,T0150
T0209,38,T0105|T0130|T0164
T0210,39,T0143|T0148
T0211,40,T0109|T0128
T0212,41,T0144
T0213,42,T0144
T0214,43,T0126
T0215,44,T0137|T0198
T0216,45,T0136|T0153|T0168
T0217,46,T0143
T0218,47,T0136|T0145|T0184
T0219,48,T0204|T0210
T0220,49,T0118|T0170|T0204
T0221,65,T0142|T0162|T0200
T0222,51,T0188
T0223,52,T0120
T0224,53,T0148|T0174
T0225,54,T0119|T0171|T0172
T0226,55,T0160|T0171
T0227,56,T0149|T0184|T0192
T0228,57,T0190|T0191|T0210
T0229,58,T0157|T0178
T0230,59,T0120|T0155|T0207
T0231,60,T0133|T0175|T0191
T0232,3,T0168
T0233,4,T0123|T0144
T0234,5,T0132|T0168
T0235,6,T0140|T0196
T0236,7,T0210
T0237,8,T0139|T0213
T0238,24,T0126
T0239,10,T0122|T0134|T0166
T0240,11,T0182|T0204
T0241,12,T0162
T0242,13,T0125|T0153|T0211
T0243,14,T0120|T0123|T0170
T0244,15,T0121|T0208
T0245,16,T0141|T0147
T0246,17,T0125|T0180|T0191
T0247,18,T0149|T0175
T0248,19,T0140|T0151
T0249,20,T0171
T0250,21,T0157|T0184|T0212
T0251,22,T0155
T0252,23,T0159|T0194|T0198
T0253,24,T0141
T0254,25,T0122|T0157|T0201
T0255,41,T0168|T0229|T0243
T0256,27,T0186|T0221
T0257,28,T0202|T0209|T0245
T0258,29,T0176
T0259,30,T0208|T0219|T0238
T0260,31,T0170|T0243|T0250
T0261,32,T0222|T0233
T0262,33,T0217
T0263,34,T0237
T0264,35,T0208|T0241|T0249
T0265,36,T0190|T0234|T0249
T0266,37,T0177|T0178|T0216
T0267,38,T0182|T0231
T0268,39,T0175|T0208|T0248
T0269,40,T0199|T0227|T0244
T0270,41,T0174
T0271,42,T0167|T0223|T0244
T0272,58,T0170|T0241
T0273,44,T0179|T0193|T0251
T0274,45,T0188|T0236
T0275,46,T0171|T0200|T0230
T0276,47,T0205|T0217|T0240
T0277,48,T0170|T0245|T0250
T0278,49,T0209|T0235|T0248
T0279,50,T0177|T0193
T0280,51,T0178|T0197|T0204
T0281,52,T0174
T0282,53,T0169
T0283,54,T0237|T0244
T0284,55,T0245|T0253
T0285,56,T0168|T0221|T0244
T0286,57,T0177|T0224
T0287,58,T0176
T0288,59,T0208|T0248
T0289,75,T0211|T0215
T0290,3,T0169|T0178|T0182
T0291,4,T0223
T0292,5,T0178|T0182
T0293,6,T0200
T0294,7,T0170|T0186|T0245
T0295,8,T0237|T0244
T0296,9,T0176|T0242
T0297,10,T0212|T0221|T0252
T0298,11,T0267
T0299,12,T0238|T0283
T0300,13,T0293
T0301,14,T0235|T0243|T0268
T0302,15,T0269|T0277|T0297
T0303,16,T0262
T0304,17,T0263|T0274|T0287
T0305,18,T0249|T0286
T0306,34,T0232|T0259
T0307,20,T0247
T0308,21,T0245|T0251|T0253
T0309,22,T0233
T0310,23,T0272|T0288|T0294
T0311,24,T0247
T0312,25,T0220|T0261
T0313,26,T0215|T0295
T0314,27,T0218|T0239|T0292
T0315,28,T0238|T0274
T0316,29,T0250|T0263|T0297
T0317,30,T0263|T0285
T0318,31,T0248|T0271
T0319,32,T0221|T0280|T0291
T0320,33,T0246|T0256|T0292
T0321,34,T0254
T0322,35,T0265
T0323,51,T0251|T0260|T0268
T0324,37,T0250|T0266
T0325,38,T0235|T0291
T0326,39,T0259|T0286
T0327,40,T0279
T0328,41,T0221|T0237|T0262
T0329,42,T0271|T0285|T0313
T0330,43,T0293|T0302
T0331,44,T0283|T0287
T0332,45,T0311|T0326
T0333,46,T0270|T0276
T0334,47,T0277|T0287|T0326
T0335,48,T0288|T0312
T0336,49,T0266|T0312
T0337,50,T0321
T0338,51,T0261|T0317
T0339,52,T0293
T0340,68,T0303
T0341,54,T0307
T0342,55,T0264|T0274|T0279
T0343,56,T0292|T0302
T0344,57,T0323
T0345,58,T0261|T0315
T0346,59,T0328
T0347,60,T0267|T0305|T0316
T0348,3,T0261
T0349,4,T0267
T0350,5,T0271
T0351,6,T0315
T0352,7,T0268|T0326
T0353,8,T0265
T0354,9,T0272
T0355,10,T0287|T0303
T0356,11,T0292|T0301|T0309
T0357,27,T0263|T0284
T0358,13,T0261|T0281
T0359,14,T0293|T0306|T0322
T0360,15,T0318|T0322
T0361,16,T0276|T0287|T0294
T0362,17,T0295
T0363,18,T0257|T0260|T0298
T0364,19,T0297|T0301|T0313
T0365,20,T0310
T0366,21,T0292
T0367,22,T0268|T0308|T0321
T0368,23,T0272|T0296|T0305
T0369,24,T0260|T0316
T0370,25,T0255|T0307
T0371,26,T0283
T0372,27,T0322|T0326|T0327
T0373,28,T0263
T0374,44,T0344|T0345|T0360
T0375,30,T0305
T0376,31,T0300
T0377,32,T0326|T0366|T0373
T0378,33,T0347
T0379,34,T0362|T0369
T0380,35,T0330
T0381,36,T0306|T0307
T0382,37,T0335|T0340|T0341
T0383,38,T0302|T0358
T0384,39,T0351|T0367
T0385,40,T0324|T0325
T0386,41,T0299|T0323|T0332
T0387,42,T0301|T0350|T0365
T0388,43,T0298|T0332
T0389,44,T0299|T0372
T0390,45,T0350
T0391,61,T0309|T0319
T0392,47,T0328|T0372
T0393,48,T0327
T0394,49,T0299|T0310|T0331
T0395,50,T0349
T0396,51,T0301|T0368
T0397,52,T0316
T0398,53,T0310|T0311|T0341
T0399,54,T0308|T0309|T0312
T0400,55,T0302|T0323
T0401,56,T0323|T0348
T0402,57,T0340|T0341|T0373
T0403,58,T0305
T0404,59,T0350|T0367
T0405,60,T0326|T0354
T0406,3,T0344|T0355|T0363
T0407,4,T0339|T0370|T0371
T0408,20,T0343|T0391
T0409,6,T0363|T0375|T0391
T0410,7,T0342|T0370
T0411,8,T0352
T0412,9,T0364
T0413,10,T0366|T0387
T0414,11,T0363|T0403|T0404
T0415,12,T0340|T0400
T0416,13,T0334|T0390|T0399
T0417,14,T0370|T0385|T0396
T0418,15,T0398
T0419,16,T0360
T0420,17,T0355
T0421,18,T0341
T0422,19,T0375|T0379
T0423,20,T0341|T0363|T0371
T0424,21,T0354|T0398|T0405
T0425,37,T0373
T0426,23,T0364|T0394
T0427,24,T0334|T0390|T0396
T0428,25,T0334|T0383
T0429,26,T0354
T0430,27,T0367
T0431,28,T0362
T0432,29,T0349|T0383|T0405
T0433,30,T0337|T0392
T0434,31,T0338|T0354|T0372
T0435,32,T0341|T0388
T0436,33,T0343|T0391|T0392
T0437,34,T0365|T0366
T0438,35,T0427
T0439,36,T0378
T0440,37,T0393|T0413|T0437
T0441,38,T0415|T0437
T0442,54,T0405
T0443,40,T0387|T0425
T0444,41,T0384
T0445,42,T0381|T0399|T0423
T0446,43,T0405|T0424
T0447,44,T0398
T0448,45,T0391
T0449,46,T0389
T0450,47,T0375|T0409|T0412
T0451,48,T0381|T0390|T0400
T0452,49,T0411|T0414|T0423
T0453,50,T0395|T0404|T0431
T0454,51,T0429
T0455,52,T0391|T0414
T0456,53,T0391
T0457,54,T0416|T0431
T0458,55,T0396|T0403
T0459,71,T0388
T0460,57,T0420|T0435
T0461,58,T0400|T0410|T0424
T0462,59,T0420
T0463,60,T0423|T0424
T0464,3,T0398
T0465,4,T0395|T0406
T0466,5,T0391
T0467,6,T0406|T0432
T0468,7,T0405|T0429
T0469,8,T0384|T0424
T0470,9,T0414
T0471,10,T0379|T0380
T0472,11,T0376
T0473,12,T0435
T0474,13,T0403|T0406|T0407
T0475,14,T0386
T0476,30,T0383|T0388|T0417
T0477,16,T0377|T0412|T0420
T0478,17,T0433
T0479,18,T0386|T0428
T0480,19,T0388|T0435
T0481,20,T0431
T0482,21,T0376|T0391|T0418
T0483,22,T0472
T0484,23,T0411
T0485,24,T0452
T0486,25,T0408|T0428
T0487,26,T0413
T0488,27,T0435
T0489,28,T0447
T0490,29,T0454|T0458
T0491,30,T0440
T0492,31,T0453|T0457
T0493,47,T0418
T0494,33,T0439
T0495,34,T0476
T0496,35,T0427
T0497,36,T0462
T0498,37,T0453|T0467|T0474
T0499,38,T0450|T0458|T0480
T0500,39,T0414|T0446|T0463
T0501,40,T0430|T0482
T0502,41,T0479
T0503,42,T0419|T0453|T0465
T0504,43,T0462|T0475
T0505,44,T0439|T0476
T0506,45,T0423|T0435|T0475
T0507,46,T0443|T0465
T0508,47,T0422|T0446
T0509,48,T0420|T0455
T0510,64,T0455|T0466
T0511,50,T0420|T0464
T0512,51,T0422|T0444|T0453
T0513,52,T0429|T0432
T0514,53,T0414|T0456|T0479
T0515,54,T0413|T0451|T0453
T0516,55,T0443|T0482
T0517,56,T0436|T0466|T0467
T0518,57,T0412
T0519,58,T0451|T0513
T0520,59,T0453|T0465
T0521,60,T0482|T0509
T0522,3,T0442|T0462
T0523,4,T0477|T0507|T0514
T0524,5,T0485|T0504
T0525,6,T0478|T0495
T0526,7,T0461
T0527,23,T0439|T0472
T0528,9,T0474|T0504
T0529,10,T0511|T0512
T0530,11,T0473|T0502
T0531,12,T0484|T0489|T0502
T0532,13,T0476
T0533,14,T0450|T0458|T0505
T0534,15,T0441
T0535,16,T0481
T0536,17,T0504|T0513
T0537,18,T0441|T0451|T0475
T0538,19,T0480|T0501|T0507
T0539,20,T0468|T0492
T0540,21,T0454
T0541,22,T0489|T0507
T0542,23,T0471|T0515
T0543,24,T0452|T0505
T0544,40,T0440|T0461
T0545,26,T0439|T0489
T0546,27,T0499|T0508|T0517
T0547,28,T0473
T0548,29,T0501
T0549,30,T0444|T0460
T0550,31,T0445|T0486|T0488
T0551,32,T0481
T0552,33,T0444|T0475
T0553,34,T0452|T0466|T0483
T0554,35,T0502|T0513
T0555,36,T0456|T0490|T0514
T0556,37,T0463|T0492|T0516
T0557,38,T0443|T0471
T0558,39,T0496|T0513
T0559,40,T0442
T0560,41,T0447|T0494
T0561,57,T0492
T0562,43,T0511|T0515|T0533
T0563,44,T0513|T0524|T0538
T0564,45,T0552
T0565,46,T0499
T0566,47,T0525
T0567,48,T0520|T0527|T0530
T0568,49,T0554
T0569,50,T0503|T0549|T0553
T0570,51,T0489|T0515|T0555
T0571,52,T0495|T0518
T0572,53,T0486|T0495|T0500
T0573,54,T0527
T0574,55,T0500
T0575,56,T0486
T0576,57,T0525|T0545
T0577,58,T0502|T0527|T0546
T0578,74,T0542
T0579,60,T0527|T0551
T0580,3,T0518|T0546
T0581,4,T0542
T0582,5,T0485|T0511|T0517
T0583,6,T0539|T0548
T0584,7,T0490|T0522
T0585,8,T0513|T0516|T0544
T0586,9,T0518|T0522
T0587,10,T0488|T0547|T0557
T0588,11,T0490|T0503|T0560
T0589,12,T0494|T0496|T0523
T0590,13,T0488|T0531|T0558
T0591,14,T0516|T0527|T0546
T0592,15,T0509|T0515|T0550
T0593,16,T0490|T0532|T0552
T0594,17,T0529|T0552
T0595,33,T0498|T0547|T0550
T0596,19,T0536
T0597,20,T0492|T0500
T0598,21,T0492|T0495|T0559
T0599,22,T0527|T0540|T0554
T0600,23,T0500|T0551
T0601,24,T0484
T0602,25,T0512|T0516
T0603,26,T0536
T0604,27,T0602
T0605,28,T0521|T0527|T0589
T0606,29,T0550|T0574
T0607,30,T0551
T0608,31,T0528|T0571
T0609,32,T0538|T0564|T0584
T0610,33,T0552|T0587
T0611,34,T0565
T0612,50,T0525|T0556
T0613,36,T0530|T0585|T0587
T0614,37,T0589
T0615,38,T0573
T0616,39,T0557
T0617,40,T0537|T0597
T0618,41,T0576
T0619,42,T0534|T0547|T0582
T0620,43,T0532|T0554
T0621,44,T0534|T0536|T0598
T0622,45,T0536|T0583|T0586
T0623,46,T0561|T0568
T0624,47,T0523|T0544|T0567
T0625,48,T0524
T0626,49,T0530|T0568|T0578
T0627,50,T0554|T0572
T0628,51,T0557|T0593
T0629,67,T0539
T0630,53,T0546|T0558
T0631,54,T0550|T0584|T0597
T0632,55,T0532|T0533
T0633,56,T0551|T0560|T0578
T0634,57,T0558|T0573
T0635,58,T0604
T0636,59,T0579|T0594
T0637,60,T0566|T0567|T0584
T0638,3,T0563|T0565|T0595
T0639,4,T0584|T0623
T0640,5,T0606|T0608
T0641,6,T0574
T0642,7,T0633
T0643,8,T0598|T0602|T0618
T0644,9,T0563|T0588
T0645,10,T0578
T0646,26,T0561|T0596|T0616
T0647,12,T0574|T0587|T0626
T0648,13,T0592|T0603|T0616
T0649,14,T0613|T0619|T0621
T0650,15,T0569
T0651,16,T0574|T0575|T0603
T0652,17,T0594|T0596|T0632
T0653,18,T0570|T0629
T0654,19,T0569|T0594
T0655,20,T0606
T0656,21,T0564|T0569|T0608
T0657,22,T0563
T0658,23,T0625|T0628
T0659,24,T0562|T0566
T0660,25,T0623
T0661,26,T0584|T0587
T0662,27,T0566|T0580
T0663,43,T0622
T0664,29,T0630
T0665,30,T0576
T0666,31,T0582|T0598
T0667,32,T0563|T0619
T0668,33,T0612|T0619|T0630
T0669,34,T0606|T0612|T0665
T0670,35,T0655|T0662
T0671,36,T0624|T0628
T0672,37,T0644
T0673,38,T0613|T0622|T0641
T0674,39,T0648|T0656|T0663
T0675,40,T0640|T0641|T0653
T0676,41,T0622
T0677,42,T0639|T0655
T0678,43,T0634
T0679,44,T0630|T0637
T0680,60,T0633|T0646|T0650
T0681,46,T0646
T0682,47,T0628|T0667
T0683,48,T0639
T0684,49,T0605|T0611|T0665
T0685,50,T0634
T0686,51,T0605|T0643
T0687,52,T0620|T0656
T0688,53,T0613|T0616|T0640
T0689,54,T0609|T0622
T0690,55,T0619|T0642|T0644
T0691,56,T0634
T0692,57,T0643|T0661
T0693,58,T0631|T0654
T0694,59,T0609|T0616|T0653
T0695,60,T0659
T0696,3,T0605
T0697,19,T0623|T0638|T0659
T0698,5,T0638|T0667
T0699,6,T0604|T0627|T0640
T0700,7,T0648|T0682
T0701,8,T0641|T0683|T0685
T0702,9,T0691
T0703,10,T0635|T0636|T0660
T0704,11,T0664|T0684|T0688
T0705,12,T0645
T0706,13,T0648
T0707,14,T0641|T0659|T0674
T0708,15,T0657|T0688|T0694
T0709,16,T0648
T0710,17,T0665|T0677
T0711,18,T0650
T0712,19,T0654|T0664|T0669
T0713,20,T0637|T0665|T0683
T0714,36,T0663
T0715,22,T0635|T0656|T0695
T0716,23,T0672|T0674|T0693
T0717,24,T0664|T0669|T0675
T0718,25,T0635|T0645|T0688
T0719,26,T0669|T0671|T0690
T0720,27,T0644|T0668|T0698
T0721,28,T0651|T0656|T0692
T0722,29,T0672|T0676|T0677
T0723,30,T0660
T0724,31,T0661|T0691
T0725,32,T0635|T0642|T0697
T0726,33,T0681|T0686
T0727,34,T0658|T0675|T0695
T0728,35,T0666|T0686
T0729,36,T0636|T0654|T0660
T0730,37,T0697|T0726
T0731,53,T0714
T0732,39,T0726|T0727
T0733,40,T0676|T0702|T0728
T0734,41,T0673|T0701
T0735,42,T0680
T0736,43,T0679|T0711
T0737,44,T0708
T0738,45,T0712|T0718
T0739,46,T0696
T0740,47,T0687|T0712
T0741,48,T0698
T0742,49,T0708
T0743,50,T0718
T0744,51,T0718
T0745,52,T0682|T0691|T0715
T0746,53,T0705|T0714|T0719
T0747,54,T0692|T0710|T0729
T0748,70,T0728
T0749,56,T0674|T0699
T0750,57,T0681|T0687|T0711
T0751,58,T0690|T0708|T0709
T0752,59,T0705
T0753,60,T0728
T0754,3,T0670|T0709|T0717
T0755,4,T0675
T0756,5,T0691
T0757,6,T0709
T0758,7,T0679|T0703
T0759,8,T0672|T0701
T0760,9,T0676|T0689|T0726
T0761,10,T0676|T0703|T0712
T0762,11,T0671|T0697
T0763,12,T0705|T0706|T0724
T0764,13,T0691|T0720
T0765,29,T0718|T0720|T0721
T0766,15,T0724
T0767,16,T0694|T0717
T0768,17,T0685
T0769,18,T0716|T0738|T0760
T0770,19,T0702
T0771,20,T0714
T0772,21,T0731|T0733|T0753
T0773,22,T0712|T0726
T0774,23,T0716
T0775,24,T0755
T0776,25,T0739
T0777,26,T0766
T0778,27,T0753
T0779,28,T0709
T0780,29,T0717
T0781,30,T0749
T0782,46,T0731|T0754
T0783,32,T0716|T0756
T0784,33,T0726
T0785,34,T0712|T0736
T0786,35,T0703|T0705|T0706
T0787,36,T0719|T0733|T0750
T0788,37,T0734
T0789,38,T0726|T0732|T0738
T0790,39,T0701|T0712|T0766
T0791,40,T0710
T0792,41,T0707|T0749|T0757
T0793,42,T0705|T0707|T0742
T0794,43,T0709|T0721|T0742
T0795,44,T0750
T0796,45,T0722|T0725|T0740
T0797,46,T0702
T0798,47,T0752
T0799,63,T0705|T0725|T0742
T0800,49,T0721
T0801,50,T0716|T0762|T0763
T0802,51,T0706|T0730|T0748
T0803,52,T0732|T0746|T0747
T0804,53,T0756
T0805,54,T0711|T0764
T0806,55,T0731|T0754
T0807,56,T0738
T0808,57,T0752|T0760
T0809,58,T0715|T0731|T0752
T0810,59,T0741|T0746|T0765
T0811,60,T0708|T0752
T0812,3,T0705|T0736
T0813,4,T0721|T0735|T0742
T0814,5,T0709|T0728|T0734
T0815,6,T0757
T0816,22,T0704|T0730|T0756
T0817,8,T0701|T0706|T0757
T0818,9,T0788
T0819,10,T0781|T0803|T0809
T0820,11,T0736|T0760|T0803
T0821,12,T0749|T0753|T0792
T0822,13,T0768
T0823,14,T0753|T0763|T0778
T0824,15,T0811|T0813
T0825,16,T0765|T0790|T0798
T0826,17,T0786|T0797|T0805
T0827,18,T0747|T0785
T0828,19,T0730|T0739|T0786
T0829,20,T0734|T0798
T0830,21,T0744|T0749
T0831,22,T0751|T0769|T0783
T0832,23,T0761|T0770
T0833,39,T0795
T0834,25,T0783|T0802|T0805
T0835,26,T0762|T0770
T0836,27,T0737|T0802
T0837,28,T0774
T0838,29,T0736|T0771|T0791
T0839,30,T0736
T0840,31,T0746|T0748|T0796
T0841,32,T0737|T0752|T0758
T0842,33,T0780|T0786|T0802
T0843,34,T0801|T0803
T0844,35,T0731|T0811
T0845,36,T0735
T0846,37,T0749|T0775|T0810
T0847,38,T0749|T0753|T0801
T0848,39,T0793
T0849,40,T0790|T0824
T0850,56,T0823
T0851,42,T0782|T0796|T0848
T0852,43,T0773
T0853,44,T0791|T0822
T0854,45,T0791|T0814
T0855,46,T0818
T0856,47,T0793|T0796
T0857,48,T0815|T0817|T0842
T0858,49,T0785|T0802
T0859,50,T0777|T0838|T0840
T0860,51,T0798
T0861,52,T0810|T0827|T0844
T0862,53,T0772|T0840|T0843
T0863,54,T0799|T0844
T0864,55,T0825|T0834|T0847
T0865,56,T0793|T0846
T0866,57,T0802|T0829|T0844
T0867,73,T0821
T0868,59,T0786
T0869,60,T0784|T0846
T0870,3,T0792|T0814
T0871,4,T0840
T0872,5,T0771|T0792
T0873,6,T0775|T0837
T0874,7,T0795|T0822
T0875,8,T0777|T0794|T0848
T0876,9,T0837
T0877,10,T0840|T0848
T0878,11,T0770
T0879,12,T0832|T0841
T0880,13,T0777|T0781
T0881,14,T0810|T0843
T0882,15,T0826|T0846|T0847
T0883,16,T0814|T0832
T0884,32,T0830
T0885,18,T0779
T0886,19,T0783|T0815|T0844
T0887,20,T0817
T0888,21,T0820|T0824|T0838
T0889,22,T0863|T0869
T0890,23,T0870|T0884|T0888
T0891,24,T0838|T0866
T0892,25,T0828|T0830
T0893,26,T0823
T0894,27,T0842|T0882
T0895,28,T0840|T0861|T0879
T0896,29,T0838|T0853
T0897,30,T0828|T0849
T0898,31,T0829|T0856
T0899,32,T0884
T0900,33,T0867
T0901,49,T0829|T0854
T0902,35,T0849|T0861|T0884
T0903,36,T0866|T0887
T0904,37,T0847
T0905,38,T0832
T0906,39,T0832|T0834|T0837
T0907,40,T0866|T0877|T0886
T0908,41,T0831|T0853
T0909,42,T0851|T0853|T0863
T0910,43,T0852|T0861
T0911,44,T0855|T0868
T0912,45,T0835|T0870|T0887
T0913,46,T0856|T0888
T0914,47,T0866|T0884
T0915,48,T0878
T0916,49,T0872
T0917,50,T0886
T0918,66,T0885
T0919,52,T0819|T0821
T0920,53,T0851|T0878
T0921,54,T0854|T0865|T0886
T0922,55,T0849|T0880
T0923,56,T0839
T0924,57,T0878
T0925,58,T0835
T0926,59,T0869
T0927,60,T0829|T0853|T0873
T0928,3,T0861|T0878|T0884
T0929,4,T0873
T0930,5,T0861
T0931,6,T0903
T0932,7,T0876|T0896
T0933,8,T0918|T0923|T0924
T0934,9,T0901|T0906
T0935,25,T0849|T0855|T0903
T0936,11,T0893
T0937,12,T0852|T0853|T0886
T0938,13,T0861|T0918
T0939,14,T0851|T0870|T0915
T0940,15,T0905
T0941,16,T0881|T0892|T0923
T0942,17,T0905
T0943,18,T0883
T0944,19,T0869
T0945,20,T0902
T0946,21,T0858
T0947,22,T0868|T0884|T0913
T0948,23,T0855
T0949,24,T0906|T0909
T0950,25,T0892
T0951,26,T0849|T0857|T0924
T0952,42,T0865|T0923
T0953,28,T0887|T0896
T0954,29,T0880|T0919
T0955,30,T0880
T0956,31,T0851|T0858|T0923
T0957,32,T0917
T0958,33,T0878|T0881|T0916
T0959,34,T0868
T0960,35,T0916
T0961,36,T0873|T0886
T0962,37,T0856|T0861|T0914
T0963,38,T0890|T0919|T0926
T0964,39,T0854|T0921
T0965,40,T0857|T0867|T0895
T0966,41,T0870|T0887
T0967,42,T0895|T0909
T0968,43,T0881|T0896
T0969,59,T0893|T0917
T0970,45,T0892|T0902|T0927
T0971,46,T0915|T0948|T0963
T0972,47,T0949
T0973,48,T0900
T0974,49,T0896|T0921
T0975,50,T0913|T0967
T0976,51,T0894|T0913|T0934
T0977,52,T0952|T0961|T0969
T0978,53,T0939
T0979,54,T0918|T0926|T0948
T0980,55,T0939|T0963
T0981,56,T0892|T0940
T0982,57,T0902|T0957
T0983,58,T0895|T0963
T0984,59,T0901
T0985,60,T0930|T0931
T0986,18,T0890|T0944|T0966
T0987,4,T0913|T0949|T0966
T0988,5,T0943|T0961|T0963
T0989,6,T0956
T0990,7,T0908|T0960
T0991,8,T0920|T0924
T0992,9,T0891|T0944
T0993,10,T0920|T0950
T0994,11,T0890|T0911|T0947
T0995,12,T0894|T0913|T0915
T0996,13,T0946|T0947
T0997,14,T0917|T0928|T0960
T0998,15,T0895|T0920
T0999,16,T0937
T1000,17,T0920|T0966
T1001,18,T0969|T0976|T0978
T1002,19,T0944
T1003,35,T0938|T0968|T0986
T1004,21,T0937|T0982|T0998
T1005,22,T0937|T0961
T1006,23,T0930|T0957
T1007,24,T0964|T0988
T1008,25,T0938|T0980|T0998
T1009,26,T0930|T0934|T0976
T1010,27,T0946|T0975|T0979
T1011,28,T0970
T1012,29,T0943|T0981|T0985
T1013,30,T0996
