task_id,time,predecessors
T0097,430,T0040|T0073|T0074|T0075|T0076|T0077
T0098,90,T0092|T0093
T0099,110,T0059|T0087|T0088|T0089
T0100,9,T0059|T0087|T0088|T0089
T0101,430,T0094|T0095|T0096|T0097
T0102,130,T0098
T0103,289,T0099
T0104,110,T0100
T0105,160,T0004
T0106,442,T0101
T0107,159,T0102
T0108,250,T0103|T0104
T0109,190,T0004
T0110,184,T0105
T0111,690,T0004
T0112,72,T0106
T0113,190,T0107
T0114,190,T0108
T0115,90,T0108
T0116,889,T0111
T0117,170,T0112
T0118,155,T0113
T0119,190,T0109|T0110|T0114
T0120,130,T0109|T0110|T0115
T0121,390,T0029
T0122,301,T0116
T0123,54,T0117
T0124,227,T0117
T0125,142,T0078
T0126,184,T0118
T0127,741,T0119|T0120
T0128,868,T0121
T0129,230,T0122
T0130,121,T0123|T0124|T0125|T0126|T0127|T0128|T0129
T0131,320,T0130
T0132,126,T0131
T0133,440,T0131
T0134,127,T0004
T0135,134,T0132|T0133
T0136,150,T0134
T0137,140,T0135
T0138,110,T0046
T0139,320,T0136
T0140,250,T0137|T0138
T0141,232,T0129
T0142,188,T0139
T0143,250,T0140
T0144,377,T0130
T0145,90,T0123
T0146,140,T0123
T0147,90,T0123
T0148,90,T0123
T0149,70,T0123
T0150,90,T0120
T0151,110,T0141
T0152,150,T0142
T0153,101,T0143
T0154,377,T0144
T0155,118,T0145
T0156,290,T0146
T0157,209,T0127
T0158,150,T0147
T0159,150,T0148
T0160,79,T0149
T0161,150,T0150
T0162,91,T0110
T0163,59,T0151
T0164,218,T0152
T0165,351,T0153
T0166,873,T0154|T0155|T0156|T0157|T0158|T0159|T0160|T0161|T0163
T0167,130,T0162|T0164
T0168,68,T0165
T0169,126,T0143
T0170,120,T0133|T0166
T0171,227,T0167
T0172,198,T0031
T0173,132,T0168
T0174,121,T0169|T0170|T0171
T0175,150,T0172
T0176,100,T0165
T0177,38,T0173
T0178,70,T0174
T0179,355,T0031
T0180,284,T0175
T0181,122,T0176|T0177|T0178|T0179|T0180
T0182,75,T0181
T0183,160,T0181
T0184,140,T0181
T0185,520,T0181
T0186,99,T0181
T0187,182,T0181
T0188,80,T0181
T0189,514,T0181
T0190,96,T0182
T0191,50,T0138
T0192,272,T0078
T0193,226,T0183
T0194,194,T0184
T0195,164,T0185|T0186|T0187|T0188|T0189|T0190
T0196,96,T0181
T0197,107,T0181
T0198,108,T0193
T0199,167,T0194|T0195
T0200,98,T0140|T0191
T0201,82,T0192
T0202,482,T0196|T0197|T0198|T0199|T0200|T0201
T0203,72,T0195
T0204,50,T0202
T0205,130,T0195
T0206,230,T0203
T0207,50,T0204|T0205
T0208,240,T0203
T0209,190,T0206
T0210,190,T0207|T0208|T0209
T0211,240,T0209
T0212,74,T0207
T0213,139,T0210|T0211
T0214,339,T0212|T0213
T0215,260,T0214
T0216,132,T0215
T0217,550,T0216
T0218,420,T0217
T0219,152,T0218
T0220,12,T0219
T0221,90,T0004
T0222,5,T0220
T0223,128,T0221
T0224,100,T0222
T0225,120,T0223
T0226,100,T0224
T0227,320,T0195|T0225
T0228,835,T0226
T0229,740,T0195
T0230,223,T0227
T0231,100,T0228
T0232,390,T0230
T0233,140,T0231
T0234,304,T0214
T0235,120,T0229
T0236,403,T0229|T0232
T0237,21,T0233|T0235
T0238,246,T0234
T0239,160,T0236
T0240,1019,T0237|T0238|T0239
T0241,34,T0240
T0242,120,T0241
T0243,68,T0240
T0244,910,T0242
T0245,302,T0243|T0244
T0246,778,T0243|T0244
T0247,101,T0004
T0248,1310,T0245|T0246
T0249,20,T0248
T0250,278,T0204
T0251,81,T0202
T0252,290,T0180
T0253,100,T0139
T0254,372,T0249
T0255,72,T0244
T0256,28,T0234|T0250|T0251
T0257,90,T0117
T0258,250,T0252
T0259,144,T0004
T0260,303,T0253
T0261,220,T0254|T0255
T0262,58,T0255
T0263,224,T0256
T0264,211,T0257
T0265,99,T0258
T0266,44,T0259
T0267,120,T0260
T0268,70,T0261
T0269,421,T0261|T0262
T0270,231,T0263
T0271,214,T0230|T0264|T0266
T0272,196,T0265
T0273,280,T0267
T0274,398,T0268|T0269|T0270|T0271
T0275,72,T0272
T0276,280,T0273
T0277,356,T0274
T0278,193,T0247|T0274
T0279,140,T0239
T0280,130,T0275
T0281,300,T0276
T0282,456,T0274
T0283,7,T0277|T0278
T0284,170,T0249
T0285,252,T0238
T0286,210,T0279
T0287,308,T0174
T0288,308,T0174
T0289,121,T0230
T0290,52,T0280
T0291,426,T0281
T0292,104,T0108
T0293,1386,T0282|T0283|T0287|T0288|T0290|T0291|T0292
T0294,527,T0284|T0285|T0286|T0289
T0295,968,T0181
T0296,1047,T0054
T0297,538,T0030
